SPX (S&P 500 INDEX),866.23,14.31,,,,,,,,,,,
Apr 26 2009 @ 21:26 ET,,,,,,,,,,,,,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
09 Jul 710.00 (SPZ GB-E),0,0,167.4,170.4,0,0,09 Jul 710.00 (SPZ SB-E),18,0,12.9,14.2,0,12
09 Jul 720.00 (SPZ GD-E),0,0,158.9,161.9,0,0,09 Jul 720.00 (SPZ SD-E),21.9,0,14.4,15.7,0,206
09 Jul 725.00 (SPZ GE-E),0,0,154.7,157.7,0,0,09 Jul 725.00 (SPZ SE-E),17,-2.6,15.2,16.5,100,7843
09 Jul 730.00 (SPZ GF-E),0,0,150.5,153.5,0,0,09 Jul 730.00 (SPZ SF-E),17.65,0,16,17.3,0,6
09 Jul 740.00 (SPZ GH-E),0,0,142.3,145.3,0,0,09 Jul 740.00 (SPZ SH-E),0,0,17.7,19,0,0
09 Jul 750.00 (SPZ GJ-E),125.6,7,134.2,137.2,3,254,09 Jul 750.00 (SPZ SJ-E),20.2,-4.6,19.6,20.9,8947,41565
09 Jul 760.00 (SPZ GL-E),111.1,0,126.3,129.3,0,4,09 Jul 760.00 (SPZ SL-E),24.2,-2.3,21.7,23,5,100
09 Jul 770.00 (SPZ GN-E),0,0,118.5,121.5,0,0,09 Jul 770.00 (SPZ SN-E),0,0,23.9,25.2,0,0
09 Jul 775.00 (SPZ GO-E),74.7,0,114.7,117.7,0,1,09 Jul 775.00 (SPZ SO-E),25.8,-6.2,25.1,26.4,2288,4345
09 Jul 780.00 (SPZ GP-E),0,0,110.9,113.9,0,0,09 Jul 780.00 (SPZ SP-E),30.8,0,26.3,27.6,0,100
09 Jul 790.00 (SPZ GR-E),0,0,103.6,106.6,0,0,09 Jul 790.00 (SPZ SR-E),30.9,-12.8,28.9,30.2,3,15
09 Jul 800.00 (SPX GT-E),77,0,96.4,99.4,0,8462,09 Jul 800.00 (SPX ST-E),33,-6,31.5,33.3,3206,15188
09 Jul 810.00 (SPX GB-E),0,0,89.5,92.4,0,0,09 Jul 810.00 (SPX SB-E),44,0,34.5,36.3,0,120
09 Jul 815.00 (SPX GC-E),0,0,86.1,89,0,0,09 Jul 815.00 (SPX SC-E),45,0,36.1,37.9,0,4450
09 Jul 820.00 (SPX GD-E),0,0,82.7,85.6,0,0,09 Jul 820.00 (SPX SD-E),43.1,0,37.8,39.6,0,287
09 Jul 825.00 (SPX GE-E),77,7,79.5,82.4,1,4883,09 Jul 825.00 (SPX SE-E),43.5,-10.5,39.5,41.3,300,8120
09 Jul 830.00 (SPX GF-E),0,0,76.2,79.2,0,0,09 Jul 830.00 (SPX SF-E),61.6,0,41.3,43.1,0,203
09 Jul 840.00 (SPX GH-E),53.7,0,70,72.7,0,50,09 Jul 840.00 (SPX SH-E),57,0,45,46.8,0,605
09 Jul 850.00 (SPX GJ-E),47.8,0,64,66.8,0,9058,09 Jul 850.00 (SPX SJ-E),49.6,-11.3,49,50.8,6525,7580
09 Jul 860.00 (SPX GL-E),52.5,-0.3,58.9,60.7,20,1516,09 Jul 860.00 (SPX SL-E),0,0,53.3,55.1,0,0
09 Jul 870.00 (SPX GN-E),47.6,7.3,53.5,55.3,1,5,09 Jul 870.00 (SPX SN-E),0,0,57.8,59.6,0,0
09 Jul 875.00 (SPX GO-E),46.1,4.6,50.9,52.7,500,4099,09 Jul 875.00 (SPX SO-E),61.4,-18.3,59.6,62.6,3,454
09 Jul 880.00 (SPX GP-E),45.9,11.2,48.3,50.1,27,1350,09 Jul 880.00 (SPX SP-E),0,0,62.1,65.1,0,0
09 Jul 890.00 (SPX GR-E),33.3,0,43.5,45.3,0,245,09 Jul 890.00 (SPX SR-E),82.5,0,67.2,70.2,0,157
09 Jul 900.00 (SXB GT-E),34.9,7.6,38.9,40.7,665,12764,09 Jul 900.00 (SXB ST-E),74,-22.4,72.6,75.6,1,1271
09 Jul 910.00 (SXB GB-E),30,0,34.7,36.4,0,600,09 Jul 910.00 (SXB SB-E),87,0,78.3,81.3,0,3
09 Jul 920.00 (SXB GD-E),28,-4,30.7,32.4,20,187,09 Jul 920.00 (SXB SD-E),0,0,84.4,87.4,0,0
09 Jul 925.00 (SXB GE-E),28,8.7,29.1,30.4,426,9776,09 Jul 925.00 (SXB SE-E),158,0,87.5,90.5,0,500
09 Jul 930.00 (SXB GF-E),28.6,0,27.3,28.6,0,1,09 Jul 930.00 (SXB SF-E),0,0,90.7,93.7,0,0
09 Jul 940.00 (SXB GH-E),0,0,23.9,25.2,0,0,09 Jul 940.00 (SXB SH-E),0,0,97.3,100.3,0,0
09 Jul 950.00 (SXB GJ-E),19.9,3.9,20.9,22,1368,24319,09 Jul 950.00 (SXB SJ-E),106.5,-12.7,104.2,107.2,4,62
09 Jul 955.00 (SXB GK-E),14.75,0,19.4,20.7,0,164,09 Jul 955.00 (SXB SK-E),0,0,107.8,110.8,0,0
09 Jul 960.00 (SXB GL-E),13.5,0,18.1,19.3,0,502,09 Jul 960.00 (SXB SL-E),0,0,111.4,114.4,0,0
09 Jul 970.00 (SXB GN-E),17,0,15.6,16.7,0,15,09 Jul 970.00 (SXB SN-E),0,0,118.9,121.9,0,0
09 Jul 975.00 (SXB GO-E),10.85,0,14.4,15.6,0,1429,09 Jul 975.00 (SXB SO-E),0,0,122.7,125.7,0,0
09 Jul 980.00 (SXB GP-E),9.6,0,13.3,14.5,0,20,09 Jul 980.00 (SXB SP-E),0,0,126.6,129.6,0,0
09 Jul 990.00 (SXB GR-E),10.1,0,11.3,12.5,0,11,09 Jul 990.00 (SXB SR-E),0,0,134.6,137.6,0,0
09 Jul 1000.00 (SPQ GT-E),9.6,2.6,9.7,10.6,1283,8184,09 Jul 1000.00 (SPQ ST-E),168,0,142.8,145.8,0,2904
09 Jul 1010.00 (SPQ GB-E),6.7,-4.85,8.1,9.1,2,496,09 Jul 1010.00 (SPQ SB-E),0,0,151.2,154.2,0,0
09 Jul 1015.00 (SPQ GC-E),10.8,0,7.4,8.4,0,1,09 Jul 1015.00 (SPQ SC-E),0,0,155.5,158.5,0,0
09 Jul 1020.00 (SPQ GD-E),5,0,6.8,7.7,0,1,09 Jul 1020.00 (SPQ SD-E),0,0,159.9,162.9,0,0
09 Jul 1025.00 (SPQ GE-E),5.3,1.3,6.2,7.1,23,2001,09 Jul 1025.00 (SPQ SE-E),191,0,164.3,167.3,0,2900
09 Jul 1030.00 (SPQ GF-E),0,0,5.6,6.6,0,0,09 Jul 1030.00 (SPQ SF-E),0,0,168.7,171.7,0,0
09 Jul 1035.00 (SPQ GG-E),3.4,0,5.1,6.1,0,24,09 Jul 1035.00 (SPQ SG-E),0,0,173.1,176.2,0,0
09 Jul 1040.00 (SPQ GH-E),4.1,0,4.7,5.5,0,2,09 Jul 1040.00 (SPQ SH-E),0,0,177.7,180.7,0,0
09 Jul 1050.00 (SPQ GJ-E),2.8,0,3.8,4.6,0,913,09 Jul 1050.00 (SPQ SJ-E),0,0,186.8,189.8,0,0
09 Jul 1060.00 (SPQ GL-E),2.9,0,3.1,3.9,0,1,09 Jul 1060.00 (SPQ SL-E),0,0,196,199,0,0
09 Jul 1075.00 (SPQ GO-E),1.9,0,2.35,2.95,0,22,09 Jul 1075.00 (SPQ SO-E),234,0,210.1,213.1,0,10
09 Jul 1100.00 (SPT GT-E),1.35,0.6,1.3,1.9,5,221,09 Jul 1100.00 (SPT ST-E),0,0,234.1,237.1,0,0
09 Jul 1150.00 (SPT GJ-E),0.35,0,0.3,0.9,0,215,09 Jul 1150.00 (SPT SJ-E),0,0,283,286,0,0
09 Jul 1200.00 (SZP GT-E),0,0,0.1,0.6,0,0,09 Jul 1200.00 (SZP ST-E),0,0,332.6,335.6,0,0
09 Jul 1250.00 (SZP GJ-E),0.05,0,0,0.2,0,7,09 Jul 1250.00 (SZP SJ-E),397.5,0,382.3,385.3,0,1
09 Aug 200.00 (SPV HD-E),0,0,660.4,663.4,0,0,09 Aug 200.00 (SPV TD-E),0,0,0,0.3,0,0
09 Aug 300.00 (SPV HT-E),0,0,561,564,0,0,09 Aug 300.00 (SPV TT-E),0,0,0,0.55,0,0
09 Aug 350.00 (SPV HJ-E),0,0,511.4,514.4,0,0,09 Aug 350.00 (SPV TJ-E),0,0,0.25,0.9,0,0
09 Aug 400.00 (SZU HT-E),0,0,461.9,464.9,0,0,09 Aug 400.00 (SZU TT-E),0.9,0,0.65,1.25,0,30
09 Aug 425.00 (SZU HE-E),0,0,437.3,440.3,0,0,09 Aug 425.00 (SZU TE-E),0,0,0.95,1.55,0,0
09 Aug 450.00 (SZU HJ-E),0,0,412.8,415.8,0,0,09 Aug 450.00 (SZU TJ-E),0,0,1.35,1.95,0,0
09 Aug 475.00 (SZU HO-E),0,0,388.3,391.3,0,0,09 Aug 475.00 (SZU TO-E),0,0,1.85,2.45,0,0
09 Aug 500.00 (SYU HT-E),0,0,364,367,0,0,09 Aug 500.00 (SYU TT-E),3.7,0,2.45,3.1,0,10
09 Aug 525.00 (SYU HE-E),0,0,339.9,342.9,0,0,09 Aug 525.00 (SYU TE-E),0,0,3.2,4,0,0
09 Aug 550.00 (SYU HJ-E),0,0,316,319,0,0,09 Aug 550.00 (SYU TJ-E),0,0,4.2,5,0,0
09 Aug 575.00 (SYU HP-E),0,0,292.4,295.4,0,0,09 Aug 575.00 (SYU TP-E),0,0,5.4,6.4,0,0
09 Aug 600.00 (SYG HT-E),0,0,269.1,272.1,0,0,09 Aug 600.00 (SYG TT-E),10,0,7.1,8.1,0,5
09 Aug 625.00 (SYG HE-E),0,0,246.2,249.2,0,0,09 Aug 625.00 (SYG TE-E),0,0,9.1,10.1,0,0
09 Aug 650.00 (SYG HJ-E),0,0,223.9,226.9,0,0,09 Aug 650.00 (SYG TJ-E),15.15,0,11.6,12.9,0,2
09 Aug 675.00 (SYG HO-E),0,0,202.1,205.1,0,0,09 Aug 675.00 (SYG TO-E),15.3,-2.9,14.7,16,6,22
09 Aug 700.00 (SPZ HT-E),0,0,181,184,0,0,09 Aug 700.00 (SPZ TT-E),22.9,0,18.5,19.8,0,650
09 Aug 725.00 (SPZ HE-E),0,0,160.6,163.6,0,0,09 Aug 725.00 (SPZ TE-E),24.7,-5.7,23.1,24.4,200,2
09 Aug 750.00 (SPZ HJ-E),0,0,141.1,144.1,0,0,09 Aug 750.00 (SPZ TJ-E),29.85,-4.35,28.5,29.8,1,300
09 Aug 770.00 (SPZ HN-E),0,0,126.2,129.2,0,0,09 Aug 770.00 (SPZ TN-E),0,0,33.3,35.1,0,0
09 Aug 775.00 (SPZ HO-E),0,0,122.6,125.6,0,0,09 Aug 775.00 (SPZ TO-E),38,0,34.7,36.5,0,20
09 Aug 800.00 (SPX HT-E),0,0,105.2,108.1,0,0,09 Aug 800.00 (SPX TT-E),45.8,-5.5,42.2,44,883,2261
09 Aug 825.00 (SPX HE-E),74.5,0,88.9,91.8,0,1,09 Aug 825.00 (SPX TE-E),54,-7.8,50.9,52.7,200,5300
09 Aug 850.00 (SPX HJ-E),59,0,74,76.7,0,800,09 Aug 850.00 (SPX TJ-E),62.5,-11.7,60.3,63.3,4652,801
09 Aug 875.00 (SPX HO-E),59.3,8.3,60.5,63.3,330,11,09 Aug 875.00 (SPX TO-E),78.8,0,71.7,74.7,0,1
09 Aug 900.00 (SXB HT-E),39.3,0,49.1,50.9,0,337,09 Aug 900.00 (SXB TT-E),95.5,0,84.7,87.4,0,3
09 Aug 925.00 (SXB HE-E),27.6,0,38.6,40.4,0,605,09 Aug 925.00 (SXB TE-E),121.3,0,99.1,101.9,0,280
09 Aug 950.00 (SXB HJ-E),28.5,2.05,29.9,31.3,268,10,09 Aug 950.00 (SXB TJ-E),118,0,115.1,118,82,0
09 Aug 975.00 (SXB HO-E),23,7,22.5,23.8,206,282,09 Aug 975.00 (SXB TO-E),0,0,132.6,135.5,0,0
09 Aug 1000.00 (SPQ HT-E),16,1.65,16.5,17.8,1,750,09 Aug 1000.00 (SPQ TT-E),155.2,0,151.5,154.5,1,0
09 Aug 1025.00 (SPQ HE-E),0,0,11.8,13,0,0,09 Aug 1025.00 (SPQ TE-E),0,0,171.7,174.7,0,0
09 Aug 1050.00 (SPQ HJ-E),5.8,0,8.3,9.3,0,312,09 Aug 1050.00 (SPQ TJ-E),0,0,193,196,0,0
09 Aug 1075.00 (SPQ HO-E),0,0,5.6,6.6,0,0,09 Aug 1075.00 (SPQ TO-E),0,0,215.3,218.3,0,0
09 Aug 1100.00 (SPT HT-E),0,0,3.8,4.6,0,0,09 Aug 1100.00 (SPT TT-E),0,0,238.3,241.3,0,0
09 Aug 1150.00 (SPT HJ-E),1.55,0,1.55,2.15,20,0,09 Aug 1150.00 (SPT TJ-E),0,0,285.8,288.8,0,0
09 Aug 1200.00 (SZP HT-E),0.55,0,0.6,1.2,0,12,09 Aug 1200.00 (SZP TT-E),0,0,334.8,337.8,0,0
09 Aug 1250.00 (SZP HJ-E),0,0,0.15,0.7,0,0,09 Aug 1250.00 (SZP TJ-E),0,0,384.2,387.2,0,0
09 Aug 1300.00 (SXY HT-E),0,0,0,0.55,0,0,09 Aug 1300.00 (SXY TT-E),0,0,433.9,436.9,0,0
09 Aug 1350.00 (SXY HJ-E),0,0,0,0.4,0,0,09 Aug 1350.00 (SXY TJ-E),0,0,483.5,486.5,0,0
09 Aug 1400.00 (SXZ HT-E),0,0,0,0.35,0,0,09 Aug 1400.00 (SXZ TT-E),0,0,533.4,536.4,0,0
09 Aug 1450.00 (SXZ HJ-E),0,0,0,0.35,0,0,09 Aug 1450.00 (SXZ TJ-E),0,0,583.2,586.2,0,0
09 Aug 1500.00 (SXM HT-E),0,0,0,0.3,0,0,09 Aug 1500.00 (SXM TT-E),668.9,0,633.1,636.1,0,2
09 Aug 1550.00 (SXM HJ-E),0,0,0,0.3,0,0,09 Aug 1550.00 (SXM TJ-E),0,0,682.9,685.9,0,0
09 Sep 200.00 (SPV ID-E),749.5,0,659,662,0,27,09 Sep 200.00 (SPV UD-E),0.1,0,0.1,0.3,99,2438
09 Sep 250.00 (SPV IA-E),0,0,609.3,612.3,0,0,09 Sep 250.00 (SPV UA-E),0,0,0,0.5,0,0
09 Sep 300.00 (SPV IT-E),0,0,559.7,562.7,0,0,09 Sep 300.00 (SPV UT-E),0.2,0,0.15,0.75,0,6281
09 Sep 350.00 (SPV IJ-E),0,0,510.3,513.3,0,0,09 Sep 350.00 (SPV UJ-E),1,0,0.5,1.1,0,13791
09 Sep 400.00 (SZU IT-E),380,0,461,464,0,28,09 Sep 400.00 (SZU UT-E),1.45,-0.05,1.1,1.7,15,26543
09 Sep 450.00 (SZU IJ-E),424.3,0,412.2,415.2,0,1100,09 Sep 450.00 (SZU UJ-E),3.4,0,2.1,2.7,0,9056
09 Sep 500.00 (SYU IT-E),330,0,364,367,0,2,09 Sep 500.00 (SYU UT-E),4.8,0,3.6,4.4,0,40803
09 Sep 525.00 (SYU IE-E),0,0,340.2,343.2,0,0,09 Sep 525.00 (SYU UE-E),7,0,4.7,5.5,0,502
09 Sep 530.00 (SYU IF-E),0,0,0,0,0,0,09 Sep 530.00 (SYU UF-E),0,0,0,0,0,0
09 Sep 540.00 (SYU IH-E),0,0,0,0,0,0,09 Sep 540.00 (SYU UH-E),0,0,0,0,0,0
09 Sep 550.00 (SYU IJ-E),0,0,316.7,319.7,0,0,09 Sep 550.00 (SYU UJ-E),6.6,-0.9,6,7,3,42959
09 Sep 575.00 (SYU IP-E),0,0,293.5,296.5,0,0,09 Sep 575.00 (SYU UP-E),10,0,7.7,8.7,0,317
09 Sep 600.00 (SYG IT-E),262.5,0,270.7,273.7,0,2,09 Sep 600.00 (SYG UT-E),10.6,-1.4,9.8,10.8,12,38036
09 Sep 605.00 (SYG IA-E),0,0,266.2,269.2,0,0,09 Sep 605.00 (SYG UA-E),19.2,0,10.2,11.5,0,2
09 Sep 610.00 (SYG IB-E),0,0,261.7,264.7,0,0,09 Sep 610.00 (SYG UB-E),13.2,0,10.7,12,0,1
09 Sep 615.00 (SYG IC-E),0,0,257.2,260.2,0,0,09 Sep 615.00 (SYG UC-E),21,0,11.2,12.5,0,56
09 Sep 620.00 (SYG ID-E),0,0,252.8,255.8,0,0,09 Sep 620.00 (SYG UD-E),24,0,11.7,13,0,67
09 Sep 625.00 (SYG IE-E),237.55,0,248.4,251.4,0,2,09 Sep 625.00 (SYG UE-E),15.8,0,12.3,13.6,0,5134
09 Sep 630.00 (SYG IF-E),0,0,244,247,0,0,09 Sep 630.00 (SYG UF-E),0,0,12.9,14.2,0,0
09 Sep 635.00 (SYG IG-E),0,0,239.6,242.6,0,0,09 Sep 635.00 (SYG UG-E),0,0,13.5,14.8,0,0
09 Sep 640.00 (SYG IH-E),0,0,235.2,238.2,0,0,09 Sep 640.00 (SYG UH-E),0,0,14.1,15.4,0,0
09 Sep 645.00 (SYG II-E),0,0,230.9,233.9,0,0,09 Sep 645.00 (SYG UI-E),20.5,0,14.7,16,0,4
09 Sep 650.00 (SYG IJ-E),215.85,0,226.6,229.6,0,504,09 Sep 650.00 (SYG UJ-E),19.5,0,15.4,16.7,0,27520
09 Sep 655.00 (SYG IK-E),0,0,222.3,225.3,0,0,09 Sep 655.00 (SYG UK-E),62.5,0,16.1,17.4,0,22
09 Sep 660.00 (SYG IL-E),0,0,218,221,0,0,09 Sep 660.00 (SYG UL-E),20,0,16.8,18.1,0,77
09 Sep 665.00 (SYG IM-E),0,0,213.8,216.8,0,0,09 Sep 665.00 (SYG UM-E),36.8,0,17.5,18.8,0,60
09 Sep 670.00 (SYG IN-E),0,0,209.6,212.6,0,0,09 Sep 670.00 (SYG UN-E),26.15,0,18.3,19.6,0,28
09 Sep 675.00 (SYG IO-E),132,0,205.4,208.4,0,152,09 Sep 675.00 (SYG UO-E),24,0,19.1,20.4,0,9186
09 Sep 680.00 (SYG IP-E),0,0,201.2,204.2,0,0,09 Sep 680.00 (SYG UP-E),24.5,0,19.9,21.2,0,65
09 Sep 685.00 (SYG IQ-E),0,0,197.1,200.1,0,0,09 Sep 685.00 (SYG UQ-E),26,0,20.8,22.1,0,52
09 Sep 690.00 (SYG IR-E),0,0,193,196,0,0,09 Sep 690.00 (SYG UR-E),22.9,-23.1,21.7,23,4,56
09 Sep 695.00 (SYG IS-E),71.8,0,188.9,191.9,0,192,09 Sep 695.00 (SYG US-E),85,0,22.6,23.9,0,50
09 Sep 700.00 (SPZ IT-E),172.45,0,184.9,187.9,0,6774,09 Sep 700.00 (SPZ UT-E),24,-4.9,23.5,24.8,358,34051
09 Sep 705.00 (SPZ IA-E),134.3,0,180.8,183.8,0,1,09 Sep 705.00 (SPZ UA-E),31.4,0,24.5,25.8,0,1
09 Sep 710.00 (SPZ IB-E),66,0,176.9,179.9,0,1,09 Sep 710.00 (SPZ UB-E),32.5,0,25.5,26.8,0,83
09 Sep 715.00 (SPZ IC-E),0,0,172.9,175.9,0,0,09 Sep 715.00 (SPZ UC-E),33.7,0,26.5,27.8,0,15
09 Sep 720.00 (SPZ ID-E),0,0,169,172,0,0,09 Sep 720.00 (SPZ UD-E),35.3,0,27.6,28.9,0,722
09 Sep 725.00 (SPZ IE-E),153.15,0,165.1,168.1,0,2703,09 Sep 725.00 (SPZ UE-E),29,-5.9,28.6,29.9,405,10815
09 Sep 730.00 (SPZ IF-E),0,0,161.2,164.2,0,0,09 Sep 730.00 (SPZ UF-E),37.5,0,29.8,31.1,0,560
09 Sep 735.00 (SPZ IG-E),0,0,157.4,160.4,0,0,09 Sep 735.00 (SPZ UG-E),84.7,0,30.7,32.5,0,14
09 Sep 740.00 (SPZ IH-E),99,0,153.6,156.6,0,250,09 Sep 740.00 (SPZ UH-E),54.5,0,31.9,33.7,0,16
09 Sep 745.00 (SPZ II-E),130.5,0,149.9,152.9,0,80,09 Sep 745.00 (SPZ UI-E),70.4,0,33.1,34.9,0,44
09 Sep 750.00 (SPZ IJ-E),145,8.5,146.2,149.2,10,13685,09 Sep 750.00 (SPZ UJ-E),37.6,-4.4,34.4,36.2,1750,33892
09 Sep 775.00 (SPZ IO-E),110,0,128.2,131.2,0,3849,09 Sep 775.00 (SPZ UO-E),42,-10.9,41.3,43.1,56,10860
09 Sep 780.00 (SPZ IP-E),83,0,124.7,127.7,0,3471,09 Sep 780.00 (SPZ UP-E),52.3,0,42.8,44.6,0,168
09 Sep 800.00 (SPX IT-E),100,0,111.2,114.2,0,21937,09 Sep 800.00 (SPX UT-E),50,-8.35,49.2,51,4430,38935
09 Sep 820.00 (SPX ID-E),85,0,98.4,101.4,0,156,09 Sep 820.00 (SPX UD-E),68,0,57.2,58.1,0,2501
09 Sep 825.00 (SPX IE-E),86.5,0,95.3,98.3,0,10022,09 Sep 825.00 (SPX UE-E),62.6,-7.4,58.2,60,300,24666
09 Sep 830.00 (SPX IF-E),88.6,0,92.3,95.3,0,25,09 Sep 830.00 (SPX UF-E),74.5,0,59.6,62.6,0,28
09 Sep 835.00 (SPX IG-E),91.5,0,89.3,92.3,0,69,09 Sep 835.00 (SPX UG-E),64.2,-9.9,61.6,64.6,8,79
09 Sep 840.00 (SPX IH-E),74.6,0,86.3,89.3,0,1265,09 Sep 840.00 (SPX UH-E),65.5,-17.5,63.6,66.6,3,659
09 Sep 850.00 (SPX IJ-E),81,10.8,80.6,83.6,1953,17693,09 Sep 850.00 (SPX UJ-E),69.7,-11.3,67.9,70.9,501,36252
09 Sep 875.00 (SPX IO-E),68.1,13.4,67.2,68.8,404,10951,09 Sep 875.00 (SPX UO-E),80,-6,79.4,82.4,200,1685
09 Sep 890.00 (SPX IR-E),0,0,59.8,62.8,0,0,09 Sep 890.00 (SPX UR-E),0,0,86.9,89.9,0,0
09 Sep 900.00 (SXB IT-E),55,11.8,55.7,57.5,81,36291,09 Sep 900.00 (SXB UT-E),94,-12.75,92.2,95.2,76,14068
09 Sep 910.00 (SXB IB-E),48,1.5,51.3,53.1,36,0,09 Sep 910.00 (SXB UB-E),0,0,97.8,100.8,0,0
09 Sep 925.00 (SXB IE-E),44,9,45.1,46.9,203,16704,09 Sep 925.00 (SXB UE-E),150.9,0,106.5,109.5,0,589
09 Sep 950.00 (SXB IJ-E),35.3,7.8,35.8,37.6,2208,13257,09 Sep 950.00 (SXB UJ-E),142,0,122.1,125.1,0,7298
09 Sep 975.00 (SXB IO-E),28,6.3,28.1,29.4,201,6819,09 Sep 975.00 (SXB UO-E),156,0,139,142,0,269
09 Sep 1000.00 (SPQ IT-E),20,3.75,21.4,22.1,24,32800,09 Sep 1000.00 (SPQ UT-E),181,0,157.3,160.3,0,7040
09 Sep 1025.00 (SPQ IE-E),16,2,16,17.3,1800,8545,09 Sep 1025.00 (SPQ UE-E),150,0,176.8,179.8,0,806
09 Sep 1050.00 (SPQ IJ-E),11.85,2.6,11.7,13,9,10866,09 Sep 1050.00 (SPQ UJ-E),200,-20,197.4,200.4,2000,624
09 Sep 1075.00 (SPQ IO-E),10.1,0,8.5,9.5,0,821,09 Sep 1075.00 (SPQ UO-E),0,0,219,222,0,0
09 Sep 1100.00 (SPT IT-E),6,2,5.9,6.9,20,7650,09 Sep 1100.00 (SPT UT-E),244.1,-20.9,241.3,244.3,2000,1962
09 Sep 1125.00 (SPT IE-E),3.3,0,4.1,4.9,0,1073,09 Sep 1125.00 (SPT UE-E),0,0,264.3,267.3,0,0
09 Sep 1150.00 (SPT IJ-E),2.95,0.65,2.85,3.5,14,2392,09 Sep 1150.00 (SPT UJ-E),292.3,0,287.9,290.9,0,174
09 Sep 1175.00 (SPT IO-E),2.05,0.3,1.85,2.45,7,1154,09 Sep 1175.00 (SPT UO-E),319,-21.7,311.8,314.8,4,518
09 Sep 1200.00 (SZP IT-E),1.7,0,1.25,1.85,0,5085,09 Sep 1200.00 (SZP UT-E),342,0,336.1,339.1,0,1119
09 Sep 1225.00 (SZP IE-E),1.2,0,0.8,1.4,0,532,09 Sep 1225.00 (SZP UE-E),0,0,360.5,363.5,0,0
09 Sep 1250.00 (SZP IJ-E),0.75,0,0.5,1.1,0,2630,09 Sep 1250.00 (SZP UJ-E),463.6,0,385.1,388.1,0,348
09 Sep 1275.00 (SZP IO-E),1.5,0,0.25,0.85,0,1842,09 Sep 1275.00 (SZP UO-E),140,0,409.8,412.8,0,1200
09 Sep 1300.00 (SXY IT-E),1,0,0.1,0.75,0,6802,09 Sep 1300.00 (SXY UT-E),0,0,434.6,437.6,0,0
09 Sep 1325.00 (SXY IE-E),1.35,0,0.05,0.65,0,22,09 Sep 1325.00 (SXY UE-E),0,0,459.4,462.4,0,51
09 Sep 1350.00 (SXY IJ-E),1.2,0,0,0.55,0,634,09 Sep 1350.00 (SXY UJ-E),453,0,484.3,487.3,0,2
09 Sep 1375.00 (SXY IO-E),0.25,0,0,0.45,0,62,09 Sep 1375.00 (SXY UO-E),535,0,509.1,512.1,0,1800
09 Sep 1400.00 (SXZ IT-E),0.2,0,0,0.4,0,1930,09 Sep 1400.00 (SXZ UT-E),0,0,533.9,536.9,0,0
09 Sep 1425.00 (SXZ IE-E),524.4,0,0,0.35,0,1,09 Sep 1425.00 (SXZ UE-E),524.4,0,558.8,561.8,0,51
09 Sep 1450.00 (SXZ IJ-E),3.8,0,0,0.35,0,16,09 Sep 1450.00 (SXZ UJ-E),0,0,583.7,586.7,0,0
09 Sep 1475.00 (SXZ IO-E),5,0,0,0.35,0,10,09 Sep 1475.00 (SXZ UO-E),0,0,608.6,611.6,0,0
09 Sep 1500.00 (SXM IT-E),4,0,0,0.35,0,1945,09 Sep 1500.00 (SXM UT-E),540.45,0,633.5,636.5,0,4
09 Sep 1525.00 (SXM IE-E),0.9,0,0,0.3,0,65,09 Sep 1525.00 (SXM UE-E),0,0,658.4,661.4,0,0
09 Sep 1550.00 (SXM IJ-E),1,0,0,0.3,0,49,09 Sep 1550.00 (SXM UJ-E),0,0,683.3,686.3,0,0
09 Sep 1575.00 (SXM IO-E),2,0,0,0.3,0,5,09 Sep 1575.00 (SXM UO-E),514.3,0,708.2,711.2,0,55
09 Sep 1600.00 (SPB IT-E),1.5,0,0,0.3,0,117,09 Sep 1600.00 (SPB UT-E),0,0,733.1,736.1,0,0
09 Sep 1625.00 (SPB IE-E),0.75,0,0,0.3,0,7,09 Sep 1625.00 (SPB UE-E),0,0,758,761,0,0
09 Sep 1650.00 (SPB IJ-E),1,0,0,0.3,0,5,09 Sep 1650.00 (SPB UJ-E),0,0,783,786,0,0
09 Sep 500.00 (QSZ IJ-E),0,0,364.2,367.2,0,0,09 Sep 500.00 (QSZ UJ-E),6.5,0,4.2,5,0,11
09 Sep 550.00 (QSZ IK-E),0,0,317.2,320.2,0,0,09 Sep 550.00 (QSZ UK-E),21.5,0,6.8,7.9,0,2
09 Sep 600.00 (QSZ IL-E),0,0,271.6,274.6,0,0,09 Sep 600.00 (QSZ UL-E),25.7,0,10.9,12.2,0,55
09 Sep 625.00 (QSZ IZ-E),0,0,249.5,252.5,0,0,09 Sep 625.00 (QSZ UZ-E),0,0,13.7,15,0,0
09 Sep 650.00 (QSZ IM-E),0,0,227.9,230.9,0,0,09 Sep 650.00 (QSZ UM-E),39.5,0,17,18.3,0,1
09 Sep 675.00 (QSZ IO-E),0,0,206.9,209.9,0,0,09 Sep 675.00 (QSZ UO-E),44,0,21,22.3,0,0
09 Sep 700.00 (QZQ IN-E),0,0,186.6,189.6,0,0,09 Sep 700.00 (QZQ UN-E),35.1,0,25.6,26.9,0,88
09 Sep 725.00 (QZQ IE-E),0,0,167.1,170.1,0,0,09 Sep 725.00 (QZQ UE-E),40.5,0,30.7,32.5,0,4
